"33 เครื่องหอม เครื่องสำอางหรือสิ่งปรุงแต่งสำหรับประทินร่างกาย","4,617,499,492","47,903,651,664","48,457,972,946","65,440,124,064","63,404,310,464","57,165,680,999"
"34 สบู่ สิ่งปรุงแต่งที่ใช้ซักล้าง ไขเทียม เทียนไข","2,560,110,516","28,821,457,231","23,055,503,003","24,421,555,911","26,789,427,676","26,506,447,712"
"35 สารแอลบูมินอยด์ โมดิไฟด์ สตาร์ช กาว เอนไซม์","1,332,345,537","13,911,916,133","11,798,240,616","11,131,673,849","11,238,919,910","11,166,342,302"
"36 วัตถุระเบิด ผลิตภัณฑ์จำพวกดอกไม้เพลิง ไม้ขีดไฟ","170,906,472","1,696,743,553","1,884,608,243","1,986,103,486","1,879,805,579","1,660,941,755"
"37 ของที่ใช้ในการถ่ายรูปหรือถ่ายภาพยนตร์","338,642,536","3,815,967,784","3,480,272,277","4,114,275,428","4,751,712,962","4,867,201,065"
"38 เคมีภัณฑ์เบ็ดเตล็ด","19,234,918,732","199,637,822,840","127,814,078,214","124,907,691,176","132,973,619,222","132,019,196,454"
"39 พลาสติกและของที่ทำด้วยพลาสติก","33,177,904,065","343,829,675,886","268,575,883,369","287,222,523,046","311,205,151,417","294,422,375,350"
"40 ยางและของทำด้วยยาง","9,190,254,146","105,782,342,862","76,369,724,189","85,108,639,653","88,967,904,904","86,898,615,125"
"41 หนังดิบ(นอกจากเฟอร์) และหนังฟอก","2,106,988,061","17,704,116,072","13,426,068,617","17,736,982,568","21,874,115,146","24,192,761,006"
"42 เครื่องหนัง","2,455,186,937","21,555,233,305","19,088,606,054","24,829,523,313","23,264,265,138","20,135,441,813"
"43 หนังเทียม เฟอร์เทียม และผลิตภัณฑ์ของดังกล่าว","57,093,272","11,539,550,503","5,345,190,508","10,101,253,117","7,432,516,610","5,562,333,280"
"44 ไม้และของทำด้วยไม้ ถ่านไม้","2,005,789,855","18,622,249,363","15,702,687,571","17,340,805,515","19,129,171,484","18,024,317,796"
"45 ไม้ก๊อก และของทำด้วยไม้ก๊อก","2,305,138","49,090,902","45,313,966","53,159,508","63,417,858","61,178,127"
"46 ผลิตภัณฑ์ทำด้วยฟาง เครื่องจักสานและเครื่องสาน","15,157,024","180,945,109","150,112,070","214,276,576","245,042,892","246,980,464"
"47 เยื่อไม้","3,160,294,147","40,377,860,564","17,155,281,260","22,295,789,758","26,535,829,116","28,616,760,511"
"48 กระดาษและกระดาษแข็ง ของทำด้วยสิ่งดังกล่าว","5,676,306,178","60,070,638,293","51,904,688,093","55,561,428,486","57,193,385,829","55,662,971,836"
"49 หนังสือที่พิมพ์เป็นเล่ม หนังสือพิมพ์ รูปภาพ และผลิตภัณฑ์อื่นๆ ของอุตสาหกรรมการพิมพ์ ต้นฉบับเขียนหรือดีดพิมพ์ และแปลน","521,504,309","8,494,401,710","9,148,146,500","6,305,720,701","7,216,530,284","7,199,309,639"
"50 ไหม","38,648,587","198,849,128","148,282,476","335,158,945","426,186,966","330,558,233"
