"33 เครื่องหอม เครื่องสำอางหรือสิ่งปรุงแต่งสำหรับประทินร่างกาย","5,960,521,040","66,981,158,495","64,949,958,955","80,703,949,626","73,219,586,768","59,647,890,415"
"34 สบู่ สิ่งปรุงแต่งที่ใช้ซักล้าง ไขเทียม เทียนไข","2,425,511,653","31,207,475,678","28,934,278,809","26,309,848,328","26,683,930,473","24,856,838,602"
"35 สารแอลบูมินอยด์ โมดิไฟด์ สตาร์ช กาว เอนไซม์","2,812,185,681","31,259,663,468","27,424,702,716","27,952,804,588","28,532,970,827","25,211,622,651"
"36 วัตถุระเบิด ผลิตภัณฑ์จำพวกดอกไม้เพลิง ไม้ขีดไฟ","221,571,730","2,012,489,118","341,272,456","342,575,641","379,262,950","384,284,116"
"37 ของที่ใช้ในการถ่ายรูปหรือถ่ายภาพยนตร์","30,021,254","447,018,557","299,897,877","344,253,914","406,056,260","439,347,045"
"38 เคมีภัณฑ์เบ็ดเตล็ด","6,549,756,535","67,293,344,679","48,232,183,641","38,520,570,707","35,378,426,970","34,205,077,797"
"39 พลาสติกและของที่ทำด้วยพลาสติก","43,807,416,491","495,819,853,218","371,143,694,098","414,518,369,032","468,978,988,273","426,839,564,532"
"40 ยางและของทำด้วยยาง","54,129,622,106","630,225,800,182","484,288,087,340","476,139,953,153","500,786,234,658","551,453,866,278"
"41 หนังดิบ(นอกจากเฟอร์) และหนังฟอก","1,409,461,993","17,351,250,231","16,033,355,399","20,689,063,031","21,890,659,326","18,804,984,088"
"42 เครื่องหนัง","1,486,250,893","15,527,176,254","11,378,047,475","18,081,416,310","16,617,988,385","14,084,502,170"
"43 หนังเทียม เฟอร์เทียม และผลิตภัณฑ์ของดังกล่าว","31,918,520","9,129,193,950","4,124,148,152","7,304,695,980","5,195,968,961","4,262,447,408"
"44 ไม้และของทำด้วยไม้ ถ่านไม้","7,360,442,298","94,460,488,278","70,758,590,007","73,605,420,433","84,021,739,483","97,091,568,248"
"45 ไม้ก๊อก และของทำด้วยไม้ก๊อก","711,913","11,876,097","23,103,503","5,595,481","31,609,971","9,976,782"
"46 ผลิตภัณฑ์ทำด้วยฟาง เครื่องจักสานและเครื่องสาน","24,724,514","282,884,360","245,897,925","286,016,973","248,127,374","277,866,105"
"47 เยื่อไม้","1,551,361,534","20,145,166,433","6,262,734,277","4,465,232,336","7,022,219,749","5,525,311,746"
"48 กระดาษและกระดาษแข็ง ของทำด้วยสิ่งดังกล่าว","4,036,581,779","47,185,133,859","43,330,011,423","46,946,687,289","52,776,861,407","51,160,689,758"
"49 หนังสือที่พิมพ์เป็นเล่ม หนังสือพิมพ์ รูปภาพ และผลิตภัณฑ์อื่นๆ ของอุตสาหกรรมการพิมพ์ ต้นฉบับเขียนหรือดีดพิมพ์ และแปลน","151,101,135","1,818,454,643","1,727,306,220","2,319,713,175","2,644,968,919","2,299,412,574"
"50 ไหม","36,097,176","332,216,027","183,495,534","312,950,560","418,797,073","274,002,293"
"51 ขนแกะ ขนละเอียดหรือขนหยาบของสัตว์ ด้ายขนม้าและผ้าทอ","122,128,904","1,059,984,745","644,335,886","1,312,375,156","1,902,423,472","1,637,047,856"
"52 ฝ้าย","1,133,833,597","11,426,821,484","10,109,129,877","13,764,028,738","15,841,526,201","16,328,340,026"
"53 เส้นใยสิ่งทอจากพืชอื่นๆ ด้ายกระดาษ และผ้าทอจากด้ายกระดาษ","39,559,165","605,798,664","577,222,253","687,098,909","683,936,445","614,072,904"
"54 ใยยาวประดิษฐ์ แถบและวัตถุทอประดิษฐ์ที่คล้ายกัน","1,996,135,678","21,567,090,035","18,233,559,150","23,982,225,336","27,368,384,210","28,035,492,779"
"55 เส้นใยสั้นประดิษฐ์","3,857,929,345","40,868,994,328","31,079,223,214","38,168,612,203","44,853,168,957","42,158,592,410"
"56 แวดดิ้ง สักหลาดและผ้าไม่ทอ","1,482,182,311","18,992,957,873","17,340,882,940","17,425,667,361","17,856,687,606","17,997,064,264"
"57 พรมและสิ่งทอปูพื้นอื่นๆ","372,706,507","3,827,122,413","3,885,979,008","5,026,461,231","5,382,204,247","5,581,028,536"
"58 ผ้าทอชนิดพิเศษ ผ้าปัก","487,103,271","6,457,618,360","5,029,899,918","7,374,416,320","7,331,883,735","7,424,620,080"
"59 ผ้าสิ่งทอที่อาบซึม เคลือบ หุ้มหรืออัดเป็นชั้น","405,915,286","6,060,736,349","4,073,813,638","5,288,967,224","6,447,884,387","5,701,743,078"
"60 ผ้าถักแบบนิตหรือแบบโครเชต์","1,119,958,139","13,028,380,984","10,491,460,181","11,630,509,862","12,182,506,076","11,829,926,956"
"61 เครื่องแต่งกายและส่วนประกอบ ถักแบบนิตหรือแบบโครเชต์","4,353,958,543","49,818,407,438","44,763,156,441","53,941,592,470","53,921,225,117","54,660,530,885"
"62 เครื่องแต่งกายและส่วนประกอบ ไม่ได้ถักแบบนิตหรือแบบโครเชต์","1,872,219,774","23,327,528,649","21,878,196,957","26,705,419,982","26,704,900,041","26,171,377,840"
"63 ของทำด้วยสิ่งทอที่จัดทำแล้วอื่นๆ","1,049,256,327","11,795,925,667","13,535,271,118","13,616,037,638","12,207,182,199","12,199,594,387"
"64 รองเท้า","1,750,413,120","18,522,516,237","15,855,720,965","19,664,833,767","20,094,379,190","21,154,483,986"
"65 เครื่องสวมศรีษะและส่วนประกอบ","245,566,460","2,595,514,823","1,851,522,228","2,141,353,263","2,530,874,925","2,301,763,846"
"66 ร่ม ไม้เท้า แส้(วิป)","6,000,117","77,334,007","85,834,682","101,685,550","129,460,312","139,623,005"
"67 ขนแข็งและขนอ่อนของสัตว์ปีกที่จัดเตรียมแล้ว ดอกไม้เทียม","55,954,144","607,792,125","680,210,146","832,858,909","915,813,253","961,802,056"
"68 ของทำด้วยหิน ปลาสเตอร์ ซีเมนต์ แอสแบสทอส ไมกา หรือวัตถุที่คล้ายกัน","1,898,759,605","20,228,702,594","16,605,281,943","17,301,349,708","18,808,973,196","18,633,990,704"
"69 ผลิตภัณฑ์เซรามิก","2,353,470,200","25,396,210,165","19,900,321,236","27,401,037,970","26,303,475,239","25,705,457,969"
"70 แก้วและเครื่องแก้ว","2,197,382,858","26,261,017,089","21,735,461,166","23,268,961,775","23,445,495,711","23,722,466,231"
"71 อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า","26,090,907,407","317,888,609,253","567,046,032,123","486,216,021,418","383,976,664,004","434,890,655,108"
"72 เหล็กและเหล็กกล้า","5,312,403,298","66,069,145,099","32,852,726,263","39,154,243,055","51,032,311,603","46,062,025,313"
"73 ของทำด้วยเหล็กหรือเหล็กกล้า","13,407,938,275","155,329,918,354","120,356,136,997","136,550,311,272","153,912,787,473","145,761,182,785"
"74 ทองแดงและชองทำด้วยทองแดง","9,779,789,053","113,403,348,108","70,067,565,225","65,986,830,858","68,828,742,371","64,451,642,772"
"75 นิกเกิลและของทำด้วยนิกเกิล","39,155,306","490,143,759","359,119,648","288,859,079","406,964,563","338,326,257"
"76 อะลูมิเนียมและของทำด้วยอะลูมิเนียม","8,574,242,544","92,768,857,284","58,597,130,141","58,571,292,427","58,604,539,309","52,425,662,799"
"78 ตะกั่วและของทำด้วยตะกั่ว","61,697,216","959,857,868","658,984,263","611,384,137","1,857,777,530","2,055,482,698"
"79 สังกะสีและของทำด้วยสังกะสี","233,865,967","2,254,732,033","2,062,706,952","1,691,316,353","2,126,668,864","1,848,710,466"
"80 ดีบุกและของทำด้วยดีบุก","998,088,950","11,392,887,172","5,896,918,470","6,277,833,163","6,111,244,929","6,302,186,177"
"81 โลหะสามัญชนิดอื่น เซอร์เมต และของทำด้วยของดังกล่าว","214,333,679","2,261,964,340","1,853,755,291","1,881,203,365","3,227,277,368","3,012,115,558"
"82 เครื่องมือ เครื่องใช้ ของใช้ชนิดมีคม ช้อนและส้อม ทำด้วยโลหะสามัญ","1,524,279,441","17,779,480,121","16,559,189,183","15,699,278,311","18,507,683,678","16,319,854,567"
"83 ของเบ็ดเตล็ดทำด้วยโลหะสามัญ","2,480,885,670","28,260,780,381","22,938,878,196","25,939,646,897","29,137,014,738","29,256,917,834"
"84 เครื่องจักร เครื่องใช้กล และส่วนประกอบ","111,165,003,355","1,439,184,406,603","1,180,035,118,254","1,247,333,505,961","1,388,595,776,619","1,363,810,843,708"
"85 เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ","114,752,384,592","1,282,410,699,626","1,065,005,228,037","1,048,999,807,891","1,131,617,020,168","1,152,753,246,468"
"86 หัวรถจักรของรถไฟหรือรถราง รถที่เดินบนรางและส่วนประกอบ","242,552,561","1,983,026,305","3,410,474,052","2,809,997,679","3,014,441,971","6,963,716,658"
"87 ยานยนต์และส่วนประกอบ","76,657,955,175","1,018,275,916,745","763,323,082,399","905,999,970,018","985,429,147,187","967,791,132,097"
"88 อากาศยาน ยานอวกาศ และส่วนประกอบของยานดังกล่าว","7,238,030,722","40,662,688,185","81,496,319,376","25,727,950,748","29,989,491,795","42,946,918,814"
"89 เรือและสิ่งก่อสร้างลอยน้ำ","1,113,300,887","22,289,280,978","18,165,788,637","47,279,549,016","42,830,470,337","53,681,284,242"
"90 เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ","13,186,426,130","161,641,905,433","147,150,389,419","167,993,322,743","178,629,197,759","192,296,408,763"
"91 นาฬิกาชนิดคล็อกและชนิดวอตซ์ และส่วนประกอบ","1,945,795,655","23,215,432,547","17,375,477,599","30,516,823,735","21,865,147,606","18,705,689,932"
"92 เครื่องดนตรี รวมทั้งส่วนและอุปกรณ์ประกอบ","42,681,072","652,700,130","510,673,985","674,627,571","729,960,206","727,435,885"
"93 อาวุธและกระสุน รวมทั้งส่วนประกอบและอุปกรณ์ประกอบของของดังกล่าว","1,040,612","62,733,750","1,000,530,679","60,813,485,009","469,669,716","1,334,734,759"
"94 เฟอร์นิเจอร์ ฟูก เครื่องประทีป โคมไฟ","5,236,854,129","58,480,746,448","47,844,589,426","42,997,799,404","41,836,866,367","42,717,791,737"
"95 ของเล่น ของเล่นเกม และของใช้ที่จำเป็นในการเล่นกีฬา","2,271,627,235","27,407,759,074","22,513,645,700","24,394,489,200","24,850,338,330","24,514,816,318"
"96 ผลิตภัณฑ์เบ็ดเตล็ด","1,467,543,438","18,237,358,475","18,676,900,938","20,803,906,933","23,113,643,094","22,235,677,984"
"97 ศิลปกรรม ของที่นักสะสมรวบรวม และโบราณวัตถุ","19,217,276","279,142,136","127,559,839","1,737,294,468","587,242,338","1,995,160,264"
